pubkey: 7BACsXdze3FporEnXEbuSHStPPQ58tpZuWb7jgsUYmV | owner: Fa7LNzj3SCV364hya9dx9evL29pC1awx24iHeCEwX6vU | ts: 2026-09-11T08:05:43.000Z | dep: $326.03 | bor: $28622.82 | LTV: 87.7916 | liqThresh: 0.4000 | elevationGroup: 0
pubkey: 2GHAa1PaWgKaKEKcw8B3pwSbNt9QU622xidRKYMSZifq | owner: BR9iz2tpygLUSjZkqBgivhCVD2Ftrb1He4L7thx77eJS | ts: 2026-09-10T23:41:55.000Z | dep: $809.72 | bor: $202240.89 | LTV: 249.7679 | liqThresh: 0.7500 | elevationGroup: 0
pubkey: 2GLqGtoTu8iXHMi6sxv51CBrKeNByFpwBj3zPufJv6ed | owner: 3ijUMbbBeG2TrdLPmLM6kPPzsmVo4KSsWy9qdnXVSVVa | ts: 2026-08-27T19:52:01.000Z | dep: $390.16 | bor: $28602.76 | LTV: 73.3106 | liqThresh: 0.6500 | elevationGroup: 0
pubkey: 2GYTMF4LW1KHQcDBtM4LNJ9zxZAbaCshKZyFksxJGpfG | owner: G6bAGHBa5zFXgYSFm73g7A7gYwqqyW1mf6skJ2EBzAuB | ts: 2026-08-26T00:21:46.000Z | dep: $74003.75 | bor: $28563.04 | LTV: 0.3860 | liqThresh: 0.4000 | elevationGroup: 0
pubkey: 2J8mSWd9yy4LcZxGU55UCA6hNah2b8H6wBc8Zeu8cnhc | owner: D9DnCpeanL7CZGsnm2bMw4tYKpZcPqDu3v8yT4BLxpxP | ts: 2026-09-14T05:26:54.000Z | dep: $18485.75 | bor: $28626.81 | LTV: 1.5486 | liqThresh: 0.4000 | elevationGroup: 0
pubkey: 2K9B31NjUTHHJsDexF9Gum2zDgDAF5WWWFuGGHsqKeRz | owner: GeA5MguP2nFDYaeB4VRj5yhZpw6KJEvnWzW2UUwdggDt | ts: 2026-08-21T14:19:22.000Z | dep: $1749.83 | bor: $28531.32 | LTV: 16.3052 | liqThresh: 0.4000 | elevationGroup: 0
pubkey: 2Kv4NBgbBEayafddYUCQwZ6u6QbUkTJri5e1Ku1GDQxA | owner: 9SN2MaDqkqofn3PjdombLR97CPgFDc12SdMoH1eB8eXB | ts: 2026-08-31T15:41:31.000Z | dep: $7054.78 | bor: $28381.37 | LTV: 4.0230 | liqThresh: 0.4000 | elevationGroup: 0
pubkey: 2NHgfdK5iVnmwVK7QFUGUgAaqt9PuA9CRdWqmAZf4i9V | owner: 42vqnbN8rtgh9VRZoHMn7D3vMf8YUmPcSEKV6jNV3c46 | ts: 2026-09-13T12:13:06.000Z | dep: $2063.77 | bor: $28620.74 | LTV: 13.8682 | liqThresh: 0.4000 | elevationGroup: 0
pubkey: 2RMhKR8zVdF3QciGi7QZMwnPZ1R8Epwwe1Vb3Mp893ed | owner: GMFMAgjdRYFPpYhzbskcDFt9DXFc3ZA8jP7EbxQPhr1i | ts: 2026-08-31T20:00:39.000Z | dep: $972.45 | bor: $28381.06 | LTV: 29.1851 | liqThresh: 0.6500 | elevationGroup: 0
pubkey: 2Sp9PrBBGC4iHT9Rp3zoN71fZXyovvSG7SQYexoxNPDe | owner: 9AbqCFvU3ghbo6KArFYSP9Tbk3B7j9Qp2purATzSLUvH | ts: 2026-08-24T09:35:56.000Z | dep: $1521.73 | bor: $28598.03 | LTV: 18.7931 | liqThresh: 0.7500 | elevationGroup: 0
pubkey: 2UNXtkJaXcXSwvLZ6SpRaBMn2KecKgKTJ5uky3zJwsAE | owner: Bi2RX4rTA5ZoUv5FamjjhS1SPuZS1Jkd64rgH63Zgm1t | ts: 2026-09-03T15:30:02.000Z | dep: $174.64 | bor: $28612.19 | LTV: 163.8360 | liqThresh: 0.7000 | elevationGroup: 0
pubkey: 2VVXTR17ExaqCQ9KemLrcUEYctMksyYHS39Q4KgtyPmv | owner: 9QgdH3U6e4TZsWcynndFXfGQS2g2Eg1cFtmZ5kDpLcbk | ts: 2026-09-08T17:18:14.000Z | dep: $2532.06 | bor: $28619.20 | LTV: 11.3027 | liqThresh: 0.7500 | elevationGroup: 0
pubkey: 2WNPuiQLoAZRodHCRtPyrY5khUyM5DK4bjiWXei5hDYP | owner: GvNdqR7MCnYVcSdUbVJJwPXWkW9DcZW3AXjGBTHGRjZt | ts: 2026-09-15T15:04:14.000Z | dep: $12689.27 | bor: $28628.75 | LTV: 2.2561 | liqThresh: 0.4000 | elevationGroup: 0
pubkey: 2Wi1LTN8FQ3Se99F18Ux25kLLz7FkRdciJJkyE1vgiRN | owner: Bg3zmL7LbRx45zkYEHfUSFdTrp3XLMW4HyoRvg7jt7Ma | ts: 2026-09-14T23:29:55.000Z | dep: $424.14 | bor: $60259.58 | LTV: 142.0733 | liqThresh: 0.6500 | elevationGroup: 0
pubkey: 2YDRJmvdyPXLya3x1s6bYaRNxNVDRehvsbM1b7sicjif | owner: ydTLVUpGSdamKnn3ypwWQ1peeiGAgKW8Kevr4QSsSaZ | ts: 2026-09-03T21:10:54.000Z | dep: $209.30 | bor: $28575.31 | LTV: 136.5252 | liqThresh: 0.4000 | elevationGroup: 0
pubkey: 2bc4AzXraf1VmocXRzMsjrAmwfELELunX9ARUKEHbTie | owner: ExVQf2LHpdvUsSN8QirVcwXhjRhfRkhmVdxhrSnqqAhy | ts: 2026-09-15T18:29:58.000Z | dep: $144175.70 | bor: $28628.95 | LTV: 0.1986 | liqThresh: 0.6500 | elevationGroup: 0
pubkey: 2c8RbEvFaStwQ4eWhSCAvw1f6v5aWFVukEdRbSsAkcmr | owner: HDqEqN2Y1dk4WszoBGicMfMXFwxJR57N4s1HJGGrndn6 | ts: 2026-08-21T03:48:47.000Z | dep: $13695.00 | bor: $28455.15 | LTV: 2.0778 | liqThresh: 0.6500 | elevationGroup: 0
pubkey: 2eg1oP8MVoAFb41qJSWkQLMghJq96iihNfVstHSJPPPW | owner: 638gVR5U8nTx6KkHuhyZxtbkKZjj6bx9dbNrSpUSEa4y | ts: 2026-09-14T12:09:10.000Z | dep: $1738.61 | bor: $28619.17 | LTV: 16.4609 | liqThresh: 0.4000 | elevationGroup: 0
pubkey: 2gDsPezFPRLoMBcF8bfy4N8nh3LSHjzV9cKwhUZHTyCg | owner: wLDDHgP95g1BRWscqS43xPgsq5TBk16UQMe2cWZXTn4 | ts: 2026-09-01T12:38:22.000Z | dep: $30.00 | bor: $28592.82 | LTV: 953.2243 | liqThresh: 0.7000 | elevationGroup: 0
pubkey: 2uDvba9HTug7GEQk1CiN1gbSfCSN8aH4WA4tSPE5tdpK | owner: 7oM1UQrabuPSMVbzwoc7f9AvHw3dksoazQEKSm64cENu | ts: 2026-08-24T08:30:25.000Z | dep: $35793.58 | bor: $28597.96 | LTV: 0.7990 | liqThresh: 0.6500 | elevationGroup: 0
pubkey: 2wbJ2ndavVqbGch6KPqgvWhMudAfS3jaW5oyeocrpLPy | owner: DshuaeH6thfGF9bCFQt6PabKMRTznXoTvoYh4wLMeYPs | ts: 2026-09-09T11:33:35.000Z | dep: $863.72 | bor: $28620.25 | LTV: 33.1361 | liqThresh: 0.4000 | elevationGroup: 0
pubkey: 2xvsgw7f8XF9VMUW6kg1BHMNMjDQEznvDGUcEtKLDtsc | owner: BooCEsPAngArxKqBQvfSjcK3UXPSdMYZfhB3APMEKWR8 | ts: 2026-09-07T20:35:53.000Z | dep: $0.99 | bor: $28618.01 | LTV: 28959.8969 | liqThresh: 0.7500 | elevationGroup: 0
pubkey: 2zMVRV2wR2sc575ejvM6Do2nXMxkMpKoTyKCYsF65eVU | owner: eSFWzz7wdZQvTTHrxngPKzSiuuFGy5Jw6WDu3Dw1Bev | ts: 2026-08-20T16:04:52.000Z | dep: $376.37 | bor: $28592.87 | LTV: 75.9697 | liqThresh: 0.7200 | elevationGroup: 0
pubkey: 37CfUsGTwh43V2vExGpJ19oNpNiv61tjfCCHUSqibaaB | owner: E5DxLbAyTfT18YDXtr98qaYRe71hCRP5EX1FiMGvhZ62 | ts: 2026-08-24T12:31:37.000Z | dep: $54581.25 | bor: $28504.10 | LTV: 0.5222 | liqThresh: 0.7200 | elevationGroup: 0
pubkey: 37nrfSGq9TXp1SgLGYBgMqYe8sxYcuTbd3fAg9tginvf | owner: 2w6mhjA7y1GTJ3FC4JhTSTP2bHrQbYyYj5fjJAHWsb7h | ts: 2026-09-13T21:00:54.000Z | dep: $2982.34 | bor: $28626.33 | LTV: 9.5986 | liqThresh: 0.4000 | elevationGroup: 0
pubkey: 3JEzNPa94xSJB7njqnKRWBk7ctboA1FhjURDL4cZh8tz | owner: 65CiLDCHoDKkGVWmNs4Qy6N24W2ecMRD1TYkqkVGiQQU | ts: 2026-09-04T21:03:31.000Z | dep: $94.93 | bor: $28598.53 | LTV: 301.2499 | liqThresh: 0.4000 | elevationGroup: 0
pubkey: 3KRDnQYcNQQSNc6vw4RBnSRmpb1MSTE7hV7wR7oegTQh | owner: 5xLMpFRRhTx49DpcXzj6kJMc79agy9vYLszRReLfiX78 | ts: 2026-08-27T21:18:31.000Z | dep: $5656.36 | bor: $28457.52 | LTV: 5.0311 | liqThresh: 0.4000 | elevationGroup: 0
pubkey: 3KUJkBTXE1ApY1c3WE8uGL51Ti9AdfNgrayhDw7Ecw1X | owner: 4eexKjKCzNAmvRx7HngrGkAuYxwT83p7pByBXhXuE9Vu | ts: 2026-08-29T05:42:13.000Z | dep: $281.18 | bor: $28604.71 | LTV: 101.7325 | liqThresh: 0.4000 | elevationGroup: 0
pubkey: 3Q7bKEffCk7En6e5LhQQMonMwnzA4qnc197a7LkrgQYF | owner: 5YH2PnnUzapZbAE9ipaTp5JyyYuA4bfYikPc2DkJCKWG | ts: 2026-08-28T14:53:25.000Z | dep: $594.96 | bor: $28603.85 | LTV: 48.0771 | liqThresh: 0.6500 | elevationGroup: 0
pubkey: 3Q98t698vfrbtGGo5gqQcFJCxqSMjr8vS6QJxQKZWNiv | owner: 7eKwwSnnPUXFKFj3xP8cQfdPrerU98ER1XACKd5wxsYw | ts: 2026-09-03T15:04:01.000Z | dep: $50.47 | bor: $28612.16 | LTV: 566.8780 | liqThresh: 0.4000 | elevationGroup: 0
pubkey: 3QdA9Fu5LNQqjWy6JMKtix66NEh8PmZZZRWxTSJXHDrA | owner: 65NAYE1yWCrdA9UAJsYdX2yW2FYzWJMsNpKfzNSF2EDn | ts: 2026-08-31T17:23:13.000Z | dep: $2019.81 | bor: $217786.89 | LTV: 107.8255 | liqThresh: 0.4000 | elevationGroup: 0
pubkey: 3REKpDU1PueQSzHc68DV6y9KLvgvZzvWrXUmtMmn8Ypt | owner: ADTc8Yr6B7PrF64CNtJPBvjZubWE7tFZqk7QSATTP2u5 | ts: 2026-08-29T06:34:17.000Z | dep: $787.73 | bor: $28603.70 | LTV: 36.3115 | liqThresh: 0.7200 | elevationGroup: 0
pubkey: 3XqvDfvWyuemyUNT413KrTLqvWtAzWVkJQHAeWYiRT3V | owner: Fvx9EyeFjS1p97uN9CEXPiHYzHpa8PRziyB7hR1BCuoA | ts: 2026-09-06T05:26:25.000Z | dep: $5835.40 | bor: $28602.48 | LTV: 4.9015 | liqThresh: 0.4000 | elevationGroup: 0
pubkey: 3a5NQESJ6ofz2ZhLsvRCP1b4MnbSTr7B1h36nmUswcg2 | owner: 9y14Xq4Qq7un9zhrVLP7c8rPerKAngBpYTXmUfWgPBuS | ts: 2026-09-09T04:25:14.000Z | dep: $1240.86 | bor: $28619.84 | LTV: 23.0645 | liqThresh: 0.6500 | elevationGroup: 0
pubkey: 3aAXQQggTcVpuXR3ZrFRdBv6KUNg2Proj6qxbXM7JgS5 | owner: BHRui6wTBQLQHwVEuCrh3vy3XqJkmrEBvqu1TnMij2sM | ts: 2026-09-15T20:30:24.000Z | dep: $521.36 | bor: $28628.82 | LTV: 54.9113 | liqThresh: 0.4000 | elevationGroup: 0
pubkey: 3akCqBuAXdsbhu6BB94YPKyou4GodBgAXfp4gzFuGavV | owner: 8FMnFgAWzeSx7cvSnNJQaSjCobQexi342hVe3Akx1FPS | ts: 2026-08-28T16:32:31.000Z | dep: $7280.76 | bor: $28603.95 | LTV: 3.9287 | liqThresh: 0.5000 | elevationGroup: 0
pubkey: 3apwKSeFyvUk3Egcb9XGZVpBNG4eX7ABfa1jzw61Ype7 | owner: DddLmKCaVhAiiJQUhSZqP9RJfLVqggprnzAmeVFGBJ76 | ts: 2026-09-14T14:17:03.000Z | dep: $26235.67 | bor: $28627.32 | LTV: 1.0912 | liqThresh: 0.6500 | elevationGroup: 0
pubkey: 3bKLsjY5Kv9Ezm3qzkKcMEyfjVLB15LLrvodBqF5HtjN | owner: 7dnsDaTpvF8VAWaxwaCPJk3TrTe4xav5PPZqFELXz5ND | ts: 2026-09-15T20:07:35.000Z | dep: $596.77 | bor: $28629.04 | LTV: 47.9734 | liqThresh: 0.4000 | elevationGroup: 0
pubkey: 3bbp6nhMHwaY5deJPdckuBa5eTbwrWTsVs2AoRWKyk99 | owner: iSvS18VBwyHpnENAtED3BAxFn2crs82XSDhXhP9wsZK | ts: 2026-09-11T03:32:15.000Z | dep: $249.88 | bor: $28622.56 | LTV: 114.5432 | liqThresh: 0.7500 | elevationGroup: 0
pubkey: 3hs2oF68zLvd7dA7EfbbyBRzHBPcDYr9wzGAW8gJiYwF | owner: 4869FsckDTmfRMy8uJmer38KrKuyRoqAGrDwkVDqtVMT | ts: 2026-09-10T20:29:40.000Z | dep: $498.26 | bor: $28622.15 | LTV: 57.4448 | liqThresh: 0.7500 | elevationGroup: 0
pubkey: 3jToNfMRZ423uHLRyb8uCddTGbZAf4ZWvKQQEtDJMEHA | owner: CoK43HeH3VsQAyfABCqa3uVtocH2AvprDKh4JPSwpWyD | ts: 2026-08-31T20:18:06.000Z | dep: $26.84 | bor: $60806.47 | LTV: 2265.8835 | liqThresh: 0.7500 | elevationGroup: 0
pubkey: 3jwV6kTphspApK1nJQ1rCvpsGTmziP5kYVe1VZtC2Zrd | owner: HebuNMR8nwzUWu6xtbeay4z25swznJMkcMbfKfw3vVRA | ts: 2026-08-29T09:37:40.000Z | dep: $2439.39 | bor: $28604.94 | LTV: 11.7263 | liqThresh: 0.4000 | elevationGroup: 0
pubkey: 3pBiWvGyzPFVRikFCrQU3Hy89fnZnigmEK4aZQuJvErH | owner: AHFyDo8vg1i63ygSFmyyhPzB3TqBqTu8xZWeWKLFQfYu | ts: 2026-09-15T04:39:46.000Z | dep: $102.99 | bor: $28582.45 | LTV: 277.5146 | liqThresh: 0.7500 | elevationGroup: 0
pubkey: 3pQWenWePRTXURe5WpZL1dFKz2D936KzNttJs3iVaecd | owner: ANayLf9iQrR7U1e5RqPLDUQe66RCPkAdL2FHR5f92qe | ts: 2026-08-28T05:22:44.000Z | dep: $10582.38 | bor: $28603.31 | LTV: 2.7029 | liqThresh: 0.4000 | elevationGroup: 0
pubkey: 3s412br8X1XLMwc56coB45Zh2Emv1zosTfRAyn9o9KRM | owner: qVZSNxiyNj7yDP3MKMZK6Y24CqoEhTynNdfN1ugq5TV | ts: 2026-09-15T15:50:00.000Z | dep: $504.08 | bor: $28603.72 | LTV: 56.7439 | liqThresh: 0.4000 | elevationGroup: 0
pubkey: 3v4aMuTBBb1TuJ9z8M4xm8D8KkGNxKA4mqwhBLZC2v2J | owner: GdoiAks9KicCRFoNRvewjYtbHqDRVk64o2oeSqgTFZCk | ts: 2026-09-15T09:20:49.000Z | dep: $44.77 | bor: $28628.42 | LTV: 639.4762 | liqThresh: 0.7500 | elevationGroup: 0
pubkey: 43G42gxxg7SM4MvnqPZqaDfme5Zhrreb3BSQNEdpwxPK | owner: 4hk3CoErofGKEvuKagGB7d4AZzFgXnW7uYRAGwWTK1Zj | ts: 2026-09-15T12:09:20.000Z | dep: $5.91 | bor: $28628.58 | LTV: 4840.8517 | liqThresh: 0.5000 | elevationGroup: 0
pubkey: 44XRLe6oDmurwTNK6f7akS3ERQ3RDuPamPYU9DQ9cNfY | owner: GomQx6F75167WpMMDeZLFEWwASCBZyJyL3XNdMiGTF9q | ts: 2026-08-29T08:55:50.000Z | dep: $1143.30 | bor: $28515.38 | LTV: 24.9414 | liqThresh: 0.4000 | elevationGroup: 0
pubkey: 46QovfdvRMxCxHNmjysPopJK2rzH31v9nx4nZYrsYirv | owner: 6p1reCwh5XtuWVEUCJ6kM7JRMJxHN7HoRLCdRnXQTXta | ts: 2026-09-15T14:09:12.000Z | dep: $61291.97 | bor: $28621.07 | LTV: 0.4670 | liqThresh: 0.4000 | elevationGroup: 0
pubkey: 49FXPvWGsW7UB479uFVgfUWx3u9CMEsGbYh8NB8Nasct | owner: 9W2r2uHvRTPKHUCYcTMzWzUsUAD8vYQ52EuVWpUrPSn9 | ts: 2026-08-26T01:38:02.000Z | dep: $798.48 | bor: $28597.63 | LTV: 35.8149 | liqThresh: 0.7500 | elevationGroup: 0
pubkey: 4C8DaHde37Qh6epBVyqRUuYWpDmjbZeQMdgc5pMHsmGC | owner: JAWEC7CXWAWkXiDLs6U6nfb1zVQyAqp8iGe4JdKdaWdE | ts: 2026-08-26T09:26:22.000Z | dep: $1651.66 | bor: $28601.18 | LTV: 17.3167 | liqThresh: 0.7000 | elevationGroup: 0
pubkey: 4FgjgcNh3NzFk5pAYNFWZos39LBE1DbD8dBN2fchvvpr | owner: EGruaguaaTjcMZLt7ckDjxhkXzrUqUTBVQRaHFyd2imm | ts: 2026-08-26T15:43:50.000Z | dep: $901.92 | bor: $28601.14 | LTV: 31.7112 | liqThresh: 0.6500 | elevationGroup: 0
pubkey: 4JdnxAJBuJhwGSnTYwerboBrY9DcmLtrVJVzqFRAYZ9L | owner: 5suAVqXtVBPQY4ycix9yG9HqHcu6yBhXHHQKrUj8hC69 | ts: 2026-08-25T08:17:03.000Z | dep: $694.99 | bor: $28599.32 | LTV: 41.1506 | liqThresh: 0.4000 | elevationGroup: 0
pubkey: 4MA8A6Hhwa9MoKrE2T2rhj9W9Zv6ikKvackzDscExT7q | owner: GzmKsyfRYSFkj3xBzwhq721GiZgSzgYTx1R8sDqa3nvR | ts: 2026-09-14T22:16:46.000Z | dep: $543.46 | bor: $28627.78 | LTV: 52.6772 | liqThresh: 0.4000 | elevationGroup: 0
pubkey: 4NaEcmVrY8185bJHwGidMhpjv8hgTAUxquHHCxtSUoYD | owner: Bd4bQQ9M8aZCpuxdSFw9ppQEmBcj1y5u1K1tYL4p7H9h | ts: 2026-09-04T20:17:15.000Z | dep: $10818.46 | bor: $28429.00 | LTV: 2.6278 | liqThresh: 0.4000 | elevationGroup: 0
pubkey: 4R6EFp4ehvKWMQWH4CGsJHeNAAhuqXEhz2xkjXFcbrFc | owner: Dm5cyqWRzZf7P6icMn2DnEJsBBvLbmeaJQLM4cjJ9oSA | ts: 2026-08-21T17:13:03.000Z | dep: $28.06 | bor: $28594.32 | LTV: 1019.0906 | liqThresh: 0.7000 | elevationGroup: 0
pubkey: 4SYw74fo4z3kMcKWhsJtyGAEfhp3Qr52LHyEoLr2fx5Q | owner: 4EbRCwPuA1gyXSj5mmy4CA8gVdfoAAUhfpMMDSf5hY9w | ts: 2026-08-31T15:42:20.000Z | dep: $34934.94 | bor: $28608.05 | LTV: 0.8189 | liqThresh: 0.4000 | elevationGroup: 0
pubkey: 4UN3QELW3qpryxFeu7cDbyxPigQK61wAL8vK69WVJsT7 | owner: EsfzYstiqKwQXUtLQpwiy3kJepZx7D6wc7cuhUTuXzRM | ts: 2026-09-08T13:27:30.000Z | dep: $18851.24 | bor: $28618.98 | LTV: 1.5181 | liqThresh: 0.4000 | elevationGroup: 0
pubkey: 4UopyHA8VUinrwAJAAMG6tsBz1EFEqqg6CzJQQ1gAF7E | owner: BB5DW7dpdUycKMtWArwRXBLR624hthXwfPMuHVM2sXYc | ts: 2026-09-06T00:57:55.000Z | dep: $25.84 | bor: $200508.33 | LTV: 7760.5740 | liqThresh: 0.6500 | elevationGroup: 0
